,mean fractional importance,mean fractional ratio,number of reactions,name
cpd00424_c,0.001275038123083864,0.43129658120509456,12,metabolite missing from universal
cpd00159_c,0.0042740408085404,0.4323199018001646,81,metabolite missing from universal
cpd00617_c,0.0042740408085404,0.4323199018001646,81,metabolite missing from universal
cpd00115_c,0.002206163552675576,0.43426985778702754,1,metabolite missing from universal
cpd00177_c,0.002206163552675576,0.43426985778702754,1,metabolite missing from universal
cpd00022_c,0.012379699659965956,0.435465002144372,209,metabolite missing from universal
cpd00190_c,0.004477448987105234,0.43922827495787986,57,metabolite missing from universal
cpd03845_c,0.004477448987105234,0.43922827495787986,57,metabolite missing from universal
cpd00100_c,0.0017417480744362787,0.4397516484975345,26,metabolite missing from universal
cpd00100_e,0.0017417480744362787,0.4397516484975345,26,metabolite missing from universal
cpd00201_c,0.014250160348237126,0.44073703801751646,42,metabolite missing from universal
cpd00345_c,0.014250160348237126,0.44073703801751646,42,metabolite missing from universal
cpd02692_c,0.0009177291495468475,0.4416899349957343,8,metabolite missing from universal
cpd00806_c,0.024318936009515103,0.44247762744536223,8,metabolite missing from universal
cpd01186_c,0.024318936009515103,0.44247762744536223,8,metabolite missing from universal
cpd00087_c,0.014602260546641502,0.4429655053785146,41,metabolite missing from universal
cpd11830_c,0.014602260546641502,0.4429655053785146,41,metabolite missing from universal
cpd12225_c,0.014602260546641502,0.4429655053785146,41,metabolite missing from universal
cpd00763_c,0.01944700634447664,0.44361937986686073,51,metabolite missing from universal
cpd00780_c,0.01944700634447664,0.44361937986686073,51,metabolite missing from universal
cpd19016_c,0.0002426895675454144,0.4444942761416303,10,metabolite missing from universal
cpd00003_c,0.00716216809112975,0.4449545836225586,1176,metabolite missing from universal
cpd00004_c,0.00716216809112975,0.4449545836225586,1176,metabolite missing from universal
cpd00589_c,0.00716216809112975,0.4449545836225586,1176,metabolite missing from universal
cpd01171_c,0.00716216809112975,0.4449545836225586,1176,metabolite missing from universal
cpd00041_e,0.0033925759137565328,0.44585525849822194,55,metabolite missing from universal
cpd00910_c,0.0034852730665430143,0.4461785497175271,14,metabolite missing from universal
cpd01133_c,0.0034852730665430143,0.4461785497175271,14,metabolite missing from universal
cpd00040_c,0.002536416672621557,0.4493114092814126,105,metabolite missing from universal
